States,Cities,Clusters,Rank,Score,Activity
Alabama,Birmingham,10,46,74.08846446,12.98039458
Alaska,Anchorage,0,52,72.89597221,38.67064597
Arizona,Mesa,1,58,71.52893723,8.212311416
Arizona,Phoenix,1,59,71.42798253,26.78938282
Arizona,Tuscon,1,69,69.05638147,42.48502062
Arkansas,Little Rock,2,21,77.5545241,16.90857045
California,Los Angeles,3,81,64.85413085,14.47621673
California,San Diego,3,77,66.78188696,23.81270143
California,San Francisco,3,65,70.36609079,9.72556511
California,San Jose,3,79,65.85463395,29.45722047
Colorado,Aurora,10,31,76.30398833,6.476258071
Colorado,Colorado Springs,11,8,80.15973703,38.29914114
Colorado,Denver,4,14,78.23389704,12.40313674
Connecticut,Bridgeport,7,61,71.30679392,7.584005025
Delaware,Wilmington,8,64,70.70659989,0.707815177
District of Columbia,Washington D.C.,1,66,69.84199651,7.159574788
Florida,Jacksonville,4,28,76.4895009,35.82312143
Florida,Miami,4,33,76.20167435,3.087940407
Florida,Orlando,4,15,77.98265604,6.445429525
Florida,Tampa,5,27,76.84372523,7.188020271
Georgia,Atlanta,10,12,78.33943824,5.211300617
Hawaii,Honolulu,0,40,74.48979122,24.78751338
Idaho,Boise,5,19,77.60222933,18.20706669
Illinois,Chicago,7,39,74.79510646,15.49860249
Indiana,Indianapolis,5,62,71.21146494,30.81905744
Iowa,Des Moines,5,44,74.12562924,21.78332496
Kansas,Wichita,4,36,75.03477502,41.89141197
Kentucky,“Lexington-Fayette County”,5,11,79.46822939,39.94818014
Kentucky,Louisville,5,18,77.77391367,34.57200201
Louisiana,New Orleans,6,56,72.34677619,19.33185009
Maine,Portland,8,73,67.64593549,5.206726246
Maryland,Baltimore,1,53,72.85209408,13.45365429
Massachusetts,Boston,6,68,69.25871093,7.88850653
Michigan,Detroit,2,57,71.80340876,9.844458429
Michigan,Grand Rapids,10,47,73.84114977,12.83689171
Minnesota,Minneapolis,7,63,71.09133777,6.623945066
Minnesota,St. Paul,7,54,72.72016692,4.791115194
Mississippi,Jackson,11,2,81.39343828,19.60672549
Missouri,Kansas City,5,32,76.25708369,14.07007608
Missouri,St. Louis,5,26,76.95352624,5.808170311
Montana,Billings,10,30,76.4238616,25.51828558
Nebraska,Lincoln,5,43,74.3082555,47.67767087
Nebraska,Omaha,10,45,74.11592755,30.54148187
Nevada,Henderson,8,34,76.04413981,10.60618486
Nevada,Las Vegas,8,50,73.05165885,22.0278148
New Hampshire,Manchester,4,24,77.19736221,15.86423234
New Jersey,Newark,9,76,66.90137974,0.624387156
New Mexico,Albuquerque,10,17,77.79136751,47.21999326
New York,Buffalo,9,74,67.19538121,14.16200685
New York,New York City,9,80,64.86307694,18.59009002
New York,Rochester,9,70,68.57250182,12.37308061
North Carolina,Charlotte,5,38,74.88126158,22.50446221
North Carolina,Greensboro,2,35,75.12875335,26.09082861
North Carolina,Raleigh,11,1,82.42039934,21.56799485
North Dakota,Fargo,5,48,73.1806271,28.29646419
Ohio,Cincinnati,13,9,79.74968935,11.0629547
Ohio,Cleveland,13,51,72.99018817,11.66331368
Ohio,Columbus,13,25,77.07009682,35.97037843
Oklahoma,Oklahoma City,10,16,77.93745423,26.82348322
Oklahoma,Tulsa,11,3,81.25461709,24.92652731
Oregon,Portland,8,72,67.88692688,13.57488776
Pennsylvania,Philadelphia,12,71,68.40386163,15.87423968
Pennsylvania,Pittsburgh,12,67,69.74116241,8.000850453
Rhode Island,Providence,0,75,66.97271297,6.165681084
South Carolina,Charleston,11,5,80.69348463,11.31013867
South Dakota,Sioux Falls,11,4,81.17118264,36.23889221
Tennessee,Memphis,2,22,77.28769069,46.20210197
Tennessee,Nashville,5,20,77.57480711,25.71204028
Texas,Austin,8,42,74.37801125,28.75794811
Texas,Dallas,7,41,74.45662029,3.270145948
Texas,Houston,13,6,80.63678255,25.410046
Texas,San Antonio,13,7,80.57589755,55.64876153
Utah,Salt Lake City,4,23,77.23025872,9.105356332
Vermont,Burlington,0,60,71.3949293,8.896515968
Virginia,Arlington,14,37,74.95044586,2.358589053
Virginia,Virginia Beach,8,29,76.48256125,19.44073066
Washington,Seattle,12,49,73.05677931,10.15312381
West Virginia,Charleston,8,55,72.39991189,15.90801887
Wisconsin,Milwaukee,4,13,78.27124601,24.84159953
Wyoming,Cheyenne,10,10,79.65414171,27.29705506
